position,college_level,college,major,tools,uses,concerns,q_understand,q_frameworks,q_confident,q_overall,valuable_text,prepare_text
New Consultant,Freshman,School of Information Sciences,Information Science + Data Science,Claude,Understanding workstreams;Conducting research;Brainstorming or ideation,Lack of standardized AI training;Unclear when/how to use AI;Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,,,,,,Maybe have one AI training or touch on it during NC bootcamp and have us use it to make something. 
New Consultant,Master's,Gies College of Business,iMBA,Gemini,Rewriting text,Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,,,,,,Set guidelines and resources for AI use.
New Consultant,Freshman,Gies College of Business,Finance + Accountancy,ChatGPT;Claude,Brainstorming or ideation,Unclear when/how to use AI;Risk of sharing client/confidential data;Becoming over-reliant on AI,,,,,,"Offer specific guidelines on how AI can be effectively used for projects, and when they shouldn't be used. "
New Consultant,Freshman,Gies College of Business,Finance + Accountancy,Copilot,Conducting research;Brainstorming or ideation,Lack of standardized AI training;Lack of guidance from SM/PM/SC;Unclear when/how to use AI;Concerns about accuracy;Becoming over-reliant on AI,,,,,,"Give us better training, lay out specific do's and don'ts for using AI because that was never made clear before."
New Consultant,Freshman,Gies College of Business,Finance + Data Science,Copilot,Brainstorming or ideation;Summarizing notes;Rewriting text,Becoming over-reliant on AI,,,,,,"IBC could give suggestions about how AI can be helpful with starting research, creating slide design, etc. Basically just a presentation about potential applications for IBC."
New Consultant,Junior,College of Liberal Arts and Sciences,Psychology,I don't use AI,I don't use AI,Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,,,,,,We should not be using AI period. 
New Consultant,Sophomore,College of Liberal Arts and Sciences,CS + Statistics,Copilot,Understanding workstreams;Brainstorming or ideation,I have no concerns about using AI,,,,,,
New Consultant,Sophomore,Gies College of Business,Accountancy + Data Science,Gemini,Understanding workstreams;Brainstorming or ideation;Summarizing notes,Lack of standardized AI training;Unclear when/how to use AI;Becoming over-reliant on AI,,,,,,"IBC could better prepare us to effectively use AI tools by providing clearer guidance on when and how AI should be used in project work, especially in areas like research, slide creation, and analysis. Having examples of best practices or approved use cases would help ensure we're using AI in a way that adds value without compromising quality or originality."
New Consultant,Master's,Gies College of Business,iMBA,ChatGPT;Gemini;Claude;Copilot,Conducting research;Brainstorming or ideation;Summarizing notes,I have no concerns about using AI,,,,,,Maybe provide additional training or resources. Or links to resources. I took some classes through Coursera that helped prepare me to use the tools more effectively. 
New Consultant,Junior,College of Liberal Arts and Sciences,Political Science,We researched AI tools ,We researched AI tools ,Lack of standardized AI training,,,,,,Training everyone would be beneficial.
New Consultant,Freshman,Gies College of Business,Accountancy + Data Science,ChatGPT;Copilot,Rewriting text,Risk of sharing client/confidential data;Concerns about accuracy,,,,,,present IBC's stance on AI use in project in term of protecting the cilent's data
Senior Consultant,Freshman,Gies College of Business,Business Undeclared,ChatGPT;Claude,Brainstorming or ideation;Summarizing notes;Rewriting text,Risk of sharing client/confidential data,,,,,,I think listing out how AI can be used just so that it isn't the sole creator of content when it comes to workstreams. 
Senior Consultant,PhD,Grainger College of Engineering,Chemical & Biomolecular Engineering,Claude;Perplexity,Conducting research;Brainstorming or ideation;Summarizing notes;Rewriting text,Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"I think the most valuable way AI was used was to really understand the technical concepts that our project entailed. Additionally, I believe AI was also really saved us time, especially when searching for use-cases since Claude and Perplexity cite sources as well. AI was really helpful in making text concise particularly when coming up with slide headers. ",IBC has prepared me to effectively use AI tools as now I am able to extensive research within shorter timespans while having verified information. Since AI tools have allowed me to effectively collate information (e.g. use-cases) in short periods of time while providing me with sources to verify whether the information is correct or not. 
New Consultant,Freshman,Gies College of Business,Finance + Accountancy,Claude,Conducting research,Risk of sharing client/confidential data,Agree,Agree,Agree,Agree,"AI has helped me find sufficient information, that has been useful to talk about and learn more about my specific workstream, and blockchain as a whole",Guiding us what to do to make it an effective tool instead of something to make work simply 'easier'
New Consultant,Freshman,Gies College of Business,Accountancy + Data Science,ChatGPT;Perplexity;Copilot,Conducting research;Brainstorming or ideation,Risk of sharing client/confidential data;Concerns about accuracy,Neutral,Disagree,Neutral,Agree,It made conducting secondary research so much easier and faster because I could immediately find relevant articles that contained the information I needed.,Possibly push some standardized AI usage memo in the future.
New Consultant,Sophomore,Gies College of Business,Finance + Data Science,Claude,Summarizing notes,I have no concerns about using AI,Disagree,Disagree,Agree,Neutral,Better in summarizing research and to condense the info from research docs to to slide information,IBC could inform us on how AI could better improve our consulting work
Senior Consultant,Sophomore,Gies College of Business,Finance and Information Systems,ChatGPT,Conducting research,Risk of sharing client/confidential data;Concerns about accuracy,Agree,Disagree,Agree,Agree,"To conduct research, it saved so much time especially in a research heavy project",maybe do AI workshops 
Experienced Consultant,Freshman,School of Information Sciences,Undeclared,ChatGPT,Conducting research,Concerns about accuracy;Becoming over-reliant on AI,Neutral,Neutral,Agree,Agree,"I personally only used it to find sources that relate to the work streams, so I feel this was very valuable as it helped make the research process much faster and offer sources that I may have never found, which helped the client overall",AI training that shows the limitations of when and how to use AI
New Consultant,Freshman,College of ACES,Agri-Accounting,ChatGPT,Question Type;Brainstorming or ideation,Concerns about accuracy;Becoming over-reliant on AI,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,AI was really helpful in brainstorming ideas especially when it came to research each week. ,IBC can better prepare by maybe having a class or meeting about when to use AI tools. 
